rnti ts msg Attackornot
31 0.7757656574249268 "RRCSetupRequest, RRCSetup, RRCSetupComplete, DeregistrationrequestUEoriginating" Benign
32 2.0147764682769775 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Identityrequest, Identityresponse, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
33 2.0847549438476562 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Identityrequest, Identityresponse, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
34 0.755748987197876 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest" Benign
35 0.0 RRCSetupRequest Benign
36 0.2956266403198242 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
37 24.928569316864014 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Registrationreject, ULInformationTransfer" Benign
38 0.3640785217285156 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
39 0.3682732582092285 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
40 0.3721935749053955 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
41 0.40021586418151855 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
42 0.39209508895874023 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
43 0.5440969467163086 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
44 0.38798069953918457 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
